X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC004448.2,0,1.84900734330259,0.185,0.015,0
CYBA,0,0.420621595603175,0.654,0.46,0
EIF3F,0,0.578884437645174,0.439,0.279,0
FCMR,0,0.549929714940194,0.637,0.441,0
FTH1,0,0.850134050752689,0.599,0.409,0
JUNB,0,0.846049242895749,0.644,0.439,0
KLF2,0,0.46659296392047,0.368,0.214,0
LTB,0,0.504907701524965,0.847,0.659,0
MT-ND3,0,0.444170066037137,0.893,0.808,0
PFN1,0,0.94467028988719,0.434,0.216,0
RIPOR2,0,0.448666946151165,0.778,0.613,0
RNASET2,0,0.581808194883336,0.367,0.2,0
RPL13,0,0.719137120546691,0.866,0.743,0
RPS2,0,0.523768582776102,0.604,0.432,0
TRIR,0,0.673996634492388,0.321,0.149,0
VIM,0,0.804036309620519,0.484,0.283,0
SARAF,6.12785e-319,0.432449436631915,0.632,0.473,1.848587544e-314
PTPRCAP,1.613640829e-314,0.299721432838385,0.471,0.323,4.8678702885719e-310
APBB1IP,1.42331808225032e-308,0.412119817516581,0.421,0.266,4.29372365872454e-304
UBE2D2,2.02623055063284e-308,0.419810457229113,0.432,0.276,6.11252970209409e-304
SYNGR2,8.60044549884046e-303,0.449218653442498,0.288,0.155,2.5944963936352e-298
ATP6V0C,3.07575900442976e-298,0.408294226005121,0.256,0.132,9.27864218866326e-294
LBH,1.38763538621709e-285,0.28744255949283,0.358,0.218,4.1860796696011e-281
ARL6IP4,4.30950530804783e-284,0.390630613311179,0.268,0.145,1.30004846627879e-279
FOS,1.14231552285542e-279,0.541492891602028,0.814,0.717,3.44602323779796e-275
RPS28,6.46627162729196e-272,0.357354443290736,0.863,0.851,1.95068016180517e-267
TPD52,8.31635042060011e-272,0.434789938423146,0.422,0.276,2.50879343138244e-267
DDX17,5.1811987914969205e-255,0.403286041151818,0.473,0.328,1.56301223943088e-250
ALKBH7,3.76500527186167e-254,0.3253596482833,0.179,0.082,1.13578914036251e-249
TNFAIP8,6.71713748496687e-250,0.358194620324279,0.507,0.361,2.02635886508995e-245
MARCH1,1.7596627479265e-246,0.430784247760485,0.577,0.432,5.30837461166988e-242
ANXA6,6.24915251519765e-242,0.275557727764396,0.466,0.326,1.88518183925967e-237
YWHAB,9.14989432742899e-238,0.321351745417349,0.487,0.345,2.7602486217555e-233
TRAPPC5,1.03367159512227e-237,0.283909131555444,0.148,0.075,3.11827710100536e-233
RPS21,1.53066332032682e-236,0.347844317198278,0.825,0.811,4.61755203842991e-232
IDS,3.97668813826599e-230,0.463917292712828,0.307,0.187,1.1996475106707e-225
JTB,4.43427192188877e-230,0.337225266887775,0.227,0.124,1.33768681067619e-225
NCF1,3.41331077462765e-228,0.353413100085029,0.577,0.439,1.02969346138192e-223
COX5A,1.820990217195e-224,0.290720757559636,0.144,0.068,5.49338118821216e-220
MIF,9.77863643288129e-224,0.317192223954125,0.453,0.318,2.9499212527073e-219
RPLP2,2.00955300417513e-222,0.282198698384449,0.857,0.822,6.06221854769512e-218
NIBAN3,1.65645801308131e-220,0.336265873893598,0.646,0.513,4.9970368880624e-216
FLI1,2.6828276868695e-215,0.353676971797446,0.36,0.235,8.09328628297922e-211
PARP1,9.43132418343517e-212,0.300811773962933,0.377,0.252,2.84514756641689e-207
HVCN1,3.21814464769969e-210,0.32875387444708,0.573,0.438,9.70817695871565e-206
ITGA4,3.06615380408777e-209,0.334272096849987,0.466,0.335,9.24966618079158e-205
RALGPS2,5.21111466229537e-208,0.40087076375797,0.733,0.61,1.57203696017464e-203
LSM2,2.32738433820616e-207,0.261541870937629,0.165,0.078,7.02102033306651e-203
PACS1,5.72433072376074e-207,0.372720805053783,0.472,0.341,1.7268588494369e-202
MRPS34,1.23723837960022e-205,0.253017178903085,0.119,0.051,3.73237701973997e-201
TCL1A,1.72075402225663e-203,0.530891488894938,0.4,0.281,5.19099865894158e-199
GYPC,8.82668682425639e-203,0.291560001051069,0.24,0.137,2.66274661427342e-198
LIMD2,1.82479291615138e-199,0.269239602243347,0.638,0.511,5.50485279015386e-195
ARHGAP17,8.9683713004451e-199,0.323606817792693,0.295,0.184,2.70548857020527e-194
DYNLL1,1.17172117251316e-198,0.271487177380087,0.244,0.142,3.53473126112044e-194
WASF2,1.49669318695267e-197,0.292216447933271,0.332,0.215,4.51507433708013e-193
