X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LYZ,0,-1.04502093700794,0.11,0.094,0
TXNIP,9.34366154933886e-252,-0.294702285929932,0.838,0.843,2.81870237958905e-247
S100A6,2.55981047708418e-232,-0.273087117748806,0.375,0.325,7.72218026621985e-228
S100A4,2.8990206337093e-188,-0.333059648982718,0.301,0.281,8.74547554571085e-184
NEAT1,3.70754740761101e-165,-0.253075929413805,0.318,0.302,1.11845582645401e-160
SRGN,1.60636394563629e-158,-0.298174927023437,0.164,0.165,4.845918114801e-154
TAGLN2,1.23443561359962e-138,-0.289322634002097,0.664,0.676,3.72392191554598e-134
HIST1H1E,2.99492942174548e-137,-0.287674073813401,0.31,0.308,9.03480358657959e-133
DHFR,9.43378459015909e-135,-0.513096407021028,0.086,0.108,2.84588979731329e-130
AL627171.2,2.60244281634224e-124,-0.316074643242991,0.11,0.116,7.85078924405964e-120
FP236383.3,7.92808333912083e-85,-0.360976712951639,0.715,0.741,2.39166490091258e-80
FP671120.4,2.62837171114513e-80,-0.336225576738826,0.268,0.288,7.92900894101151e-76
AC105402.3,9.39653676312984e-66,-0.723094115184157,0.347,0.365,2.83465324533338e-61
IGHV4-34,4.07215188371795e-11,-0.312359019269167,0.091,0.101,1.22844605876119e-6
