X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HERPUD1,6.61420808903918e-221,0.583004800288718,0.38,0.257,1.99530815422045e-216
PTPRCAP,2.81053404859286e-159,0.409848139362157,0.323,0.285,8.47853806439009e-155
GADD45B,3.80486398010232e-156,0.431881515008743,0.421,0.31,1.14781331687747e-151
BANK1,3.02271561980163e-133,0.28586588806309,0.805,0.721,9.11862621025557e-129
PPDPF,6.88653493315387e-103,0.381981299885343,0.377,0.287,2.07746099328453e-98
ACTB,9.2441164144088e-92,0.393682410560193,0.74,0.679,2.7886725987347e-87
IRF1,3.17228733951068e-83,0.35925091885875,0.269,0.249,9.56983921710186e-79
BTG1,1.06099177776422e-79,0.282854006317205,0.586,0.535,3.20069389598131e-75
NCOA3,1.07625903910551e-77,0.289817302249131,0.462,0.384,3.24675064326958e-73
STAT1,2.39141940404029e-73,0.301164497080121,0.151,0.115,7.21419491616835e-69
TSC22D3,6.93492935438676e-67,0.257292494109145,0.653,0.589,2.09206013833785e-62
VAMP2,1.15531135240707e-65,0.288895282340129,0.323,0.259,3.4852277568064e-61
RALGPS2,2.60260334920972e-65,0.263874896763597,0.61,0.543,7.85127352356095e-61
PTPN1,2.65121194113343e-65,0.263234307657426,0.333,0.267,7.99791106281723e-61
EML4,4.18160081317804e-60,0.259061284718341,0.422,0.355,1.26146351731142e-55
JUN,3.23822117260069e-55,0.348011492670559,0.654,0.619,9.7687418113845e-51
BACH2,1.09012872531409e-51,0.251941045765188,0.66,0.599,3.288591325655e-47
JUNB,5.15320392315704e-49,0.266112017071704,0.439,0.38,1.55456702749879e-44
SIPA1L1,1.70786822627051e-46,0.255035929713022,0.485,0.423,5.15212607819024e-42
ZEB1,9.57673407564457e-43,0.267414287986803,0.359,0.302,2.8890133685997e-38
IER2,3.92174101853402e-42,0.310996918724131,0.422,0.371,1.18307161306116e-37
AC105402.3,2.02696990250317e-32,0.263139677319537,0.379,0.349,6.11476010488132e-28
CCSER1,1.70698645225728e-28,0.281671876398445,0.237,0.208,5.14946603052454e-24
