X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RIPOR2,9.76762399383002e-159,-0.387077093138491,0.778,0.865,2.9465991302187e-154
ST6GAL1,4.31951323207616e-149,-0.441079603307075,0.35,0.514,1.30306755672042e-144
MBNL1,3.44768918973557e-106,-0.321788449630129,0.844,0.895,1.04006439786753e-101
VIM,8.46279528840765e-106,-0.386431830926251,0.632,0.754,2.55297145465394e-101
KLF6,1.30921611588041e-98,-0.349699968463818,0.43,0.565,3.94951225677643e-94
TNFAIP8,3.34996098044283e-94,-0.299338298052445,0.584,0.706,1.01058272897019e-89
CDC14A,2.99234173417236e-92,-0.426603499218661,0.507,0.615,9.02699730947775e-88
APBB1IP,3.43907836907725e-88,-0.291960190929577,0.577,0.694,1.03746677159953e-83
RUNX1,2.12403461623404e-87,-0.336307671529458,0.536,0.652,6.40757522679322e-83
GIMAP7,2.84271137600295e-83,-0.270684630881207,0.529,0.645,8.57560740798811e-79
PACS1,1.95866089469452e-74,-0.318070212322021,0.577,0.678,5.90869232102494e-70
RCSD1,9.13584607673807e-74,-0.262558805460834,0.385,0.5,2.75601068596957e-69
ARHGAP25,3.683269726209e-72,-0.254714167733018,0.389,0.507,1.11113197830547e-67
NCOA3,3.40607981718908e-71,-0.276979071219762,0.356,0.469,1.02751209845143e-66
PIP4K2A,8.91794687538565e-68,-0.268295153993602,0.569,0.674,2.69027703389759e-63
AFF1,1.83090234323684e-63,-0.292147691158921,0.263,0.362,5.52328309884259e-59
MAP4K4,8.16773376693938e-63,-0.260245203452443,0.383,0.489,2.4639602454726e-58
ARHGAP15,3.11308917896216e-61,-0.272782695010872,0.831,0.882,9.39125612617516e-57
PDE7A,2.30463506274966e-60,-0.283769017307733,0.507,0.609,6.95239259379691e-56
IGKC,1.19674075825671e-58,-0.396074292282465,0.076,0.139,3.61020784543301e-54
TMEM131L,4.6315271620429e-58,-0.275730758252808,0.486,0.581,1.39719279897348e-53
THEMIS,3.98445184658286e-51,-0.341401679553819,0.402,0.487,1.20198958855865e-46
MTRNR2L8,5.20221633718592e-49,-0.336594208936018,0.209,0.293,1.56935260243888e-44
TTC39C,5.72173839631999e-47,-0.25416732868014,0.436,0.527,1.72607682201785e-42
FCHSD2,2.10472767238414e-43,-0.251406932757283,0.359,0.449,6.34933196928123e-39
HLA-DRA,6.97285831551785e-37,-0.617253324575914,0.169,0.215,2.10350216804227e-32
SSBP2,7.30435796058665e-37,-0.25835450359177897,0.357,0.439,2.20350566597017e-32
SERINC5,2.92119524398208e-31,-0.26889432623127,0.444,0.508,8.81236969252075e-27
MAML2,1.79690546104594e-27,-0.256559009877271,0.607,0.669,5.4207247043373e-23
HLA-DPA1,5.2868154833981596e-27,-0.421108935095958,0.232,0.286,1.59487362687672e-22
INPP4B,7.66947579914269e-27,-0.264693186181589,0.515,0.581,2.31365076432737e-22
LEF1,7.7677352013576e-27,-0.297297716976921,0.439,0.485,2.34329267819355e-22
RALGPS2,4.14154746081071e-26,-0.252427514265711,0.135,0.185,1.24938062250277e-21
HLA-DRB1,2.99961230547034e-24,-0.442151554116676,0.179,0.22,9.04893044191238e-20
LYZ,3.61767252935833e-22,-0.420095967228339,0.126,0.131,1.09134327193153e-17
AFF3,1.12624195494171e-20,-0.294657156618583,0.164,0.207,3.39753410547266e-16
HLA-DPB1,5.23511139397593e-20,-0.426669103367475,0.271,0.316,1.57927605422072e-15
CD79B,1.25593074741449e-19,-0.263234958303837,0.096,0.132,3.7887662857253e-15
AL136456.1,1.29525340107257e-10,-0.30099139498518,0.082,0.107,3.90739093501563e-6
