X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC004448.2,0,1.49280970396936,0.134,0.024,0
LYZ,0,0.663913490884357,0.297,0.1,0
S100A9,1.77707189761191e-281,0.506312910902351,0.218,0.076,5.36089279352585e-277
RPL13,4.08366640038221e-235,0.29968039110348,0.949,0.838,1.2319196430033e-230
S100A8,2.06936660318341e-207,0.357107767147073,0.146,0.044,6.24265823182339e-203
PTPRCAP,9.03834252311932e-163,0.590877989769893,0.166,0.065,2.7265967889494e-158
RIPOR2,1.87974244381047e-140,0.324440322240497,0.848,0.794,5.67061903024305e-136
VIM,1.34155323848062e-139,0.486296555468412,0.733,0.628,4.04706365452449e-135
JUNB,1.23488915306426e-131,0.262959272170956,0.804,0.681,3.72529010804895e-127
AC105402.3,2.82882853495414e-109,0.397544164783955,0.68,0.607,8.53372704139615e-105
LIMD2,1.49897940621076e-105,0.306514756174119,0.689,0.607,4.52197117471599e-101
DDX17,3.20032297502518e-101,0.31099671559252,0.656,0.578,9.65441431875847e-97
SNHG25,5.05723666980278e-99,0.273990474734095,0.399,0.332,1.5256165861794e-94
NFATC3,3.13563617666233e-95,0.332951042452043,0.515,0.422,9.45927365413724e-91
SLC9A3R1,1.07591538436581e-93,0.313074639318075,0.302,0.237,3.24571394001635e-89
PLCG2,1.13635650050001e-85,0.428303158505534,0.36,0.282,3.42804665505837e-81
EPB41,8.41700361672771e-85,0.279615564139942,0.726,0.651,2.53915748105825e-80
NOP53,1.96292738523865e-83,0.254868095074754,0.727,0.649,5.92156304304942e-79
ST6GAL1,2.88809264005436e-82,0.323224271425577,0.441,0.347,8.71250906725198e-78
GIMAP1,3.47676238980661e-82,0.279774605255256,0.354,0.297,1.04883491013296e-77
APBB1IP,9.34211383181806e-81,0.2526166693746,0.638,0.554,2.81823547964456e-76
H1FX,1.40824638107335e-77,0.288110324285726,0.365,0.302,4.24825685778396e-73
TRIR,1.04464895216423e-76,0.258455420742394,0.554,0.494,3.15139249399384e-72
RCSD1,2.23867597116158e-75,0.266030408470512,0.439,0.365,6.75341380220313e-71
MTRNR2L12,3.41210479448297e-75,0.356418645762834,0.655,0.61,1.02932965335168e-70
CRIP1,7.85969220061735e-74,0.343580478159779,0.579,0.502,2.37103334616024e-69
PDE7A,2.24128475892087e-73,0.281566734906567,0.587,0.529,6.7612837322366e-69
PPDPF,6.93481070227452e-72,0.266747375831386,0.616,0.552,2.09202434455515e-67
AQP3,6.73624814708986e-69,0.274259628543637,0.21,0.16,2.0321239785326e-64
LTB,3.59700958973505e-68,0.259145697869522,0.741,0.663,1.08510988293537e-63
MYBL1,1.22099650834329e-67,0.377390925014298,0.254,0.192,3.68338016671922e-63
FLI1,9.95658741446773e-67,0.261611453336542,0.393,0.329,3.00360372532248e-62
TBC1D10C,1.76916979926412e-66,0.259700295507451,0.458,0.388,5.33705453344006e-62
EIF3F,4.11388587069559e-63,0.266621775576676,0.602,0.554,1.24103595061274e-58
PIP4K2A,9.90186166609395e-63,0.304658234586997,0.623,0.562,2.98709460881056e-58
PACS1,7.01658796288843e-62,0.268254697655354,0.645,0.584,2.11669409076455e-57
SAMD3,3.59364372105086e-60,0.337780373277504,0.36,0.288,1.08409450132941e-55
STK10,6.11895860439286e-57,0.251031221479981,0.576,0.51,1.84590624218719e-52
ITGA4,9.56834960647162e-57,0.26338448664485,0.573,0.496,2.88648402578429e-52
SYNE1,1.29626144939913e-53,0.325770895485066,0.531,0.472,3.91043191440236e-49
MYO1F,3.48590548486737e-53,0.363476540925374,0.362,0.292,1.05159310761994e-48
MBP,1.87122128655387e-52,0.253340529620502,0.569,0.514,5.64491325514705e-48
CARD11,3.03826410889598e-50,0.286621745626102,0.513,0.45,9.16553133730651e-46
IQGAP2,5.80778828971496e-47,0.268766215904199,0.608,0.55,1.75203549335831e-42
EFHD2,2.2217260048662e-43,0.278331666648624,0.248,0.213,6.70228083887987e-39
PITPNC1,1.68446360053568e-42,0.25802567709869,0.699,0.646,5.081521343736e-38
PYHIN1,1.24268654162074e-41,0.274402792285546,0.338,0.286,3.7488124901073e-37
TGFBR3,6.83355934850305e-39,0.329131618012397,0.312,0.269,2.06147984866291e-34
RAP1GAP2,2.03938436384978e-34,0.319525721158262,0.358,0.309,6.15221081042563e-30
JAZF1,5.34898718584207e-32,0.261521893177504,0.254,0.216,1.61362896435298e-27
AOAH,1.07342737722503e-31,0.376245996673935,0.394,0.346,3.23820836887476e-27
