X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RPL13,2.85177359407927e-259,-0.407009888545085,794,845,8.60294540125893e-255
EIF3F,3.15624404420064e-196,-0.452203901705329,247,338,9.52144140814006e-192
RIPOR2,3.28398939185592e-192,-0.384714639504844,596,0.69,9.90681079841177e-188
PPDPF,3.86537244704305e-179,-0.430782417937931,287,395,1.16606690609948e-174
FCMR,8.1505153269941e-179,-0.386966986735913,432,536,2.45876595869431e-174
TSC22D3,7.93584811165197e-175,-0.385574135154047,589,676,2.39400729984205e-170
TCL1A,7.14662394372646e-148,-0.481930400168573,0.3,392,2.15592204510396e-143
JUNB,1.29023542763837e-146,-0.341106990385399,0.38,488,3.89225321455667e-142
VIM,2.64720893258016e-143,-0.40622719701243,292,387,7.98583518691458e-139
RALGPS2,3.5075841036905e-133,-0.396032615024563,543,634,1.05813289656031e-128
SELL,6.9989922582052e-128,-0.360282809474973,501,0.58,2.11138599453276e-123
UCP2,3.54269751081687e-125,-0.298533650433192,432,525,1.06872555808812e-120
LBH,5.05937430288371e-124,-0.347981683132001,181,256,1.52626144595093e-119
CD79B,4.55478000785706e-123,-0.305309837122627,542,615,1.37404048497024e-118
MEF2C,2.53825146234122e-115,-0.320544533070801,0.5,592,7.65714318644476e-111
MARCH1,3.01082310437412e-113,-0.356647413314444,407,496,9.0827500589654e-109
RNASET2,1.06869392946309e-112,-0.332463175528812,181,249,3.22392897701129e-108
STX7,3.3166461941824e-112,-0.359063004292422,277,357,1.00053265739901e-107
HVCN1,1.46076220459259e-109,-0.309480275079078,0.42,506,4.40668134259447e-105
ITGA4,8.93235581341686e-109,-0.351282410990118,303,386,2.69462377823346e-104
GNG7,1.3110763687462e-99,-0.309551719840239,356,443,3.95512408159665e-95
BANK1,1.57545606884454e-97,-0.29507497541346,721,788,4.75267832288333e-93
TPD52,4.396460522485e-97,-0.337841732175495,251,321,1.32628024581805e-92
NME2,1.15870504122204e-96,-0.299643665622711,308,0.38,3.49546549785453e-92
FCRL1,1.4406903045850001e-95,-0.333906940257602,0.5,579,4.34613044184157e-91
DDX17,2.75413957461666e-93,-0.316385002414029,301,374,8.30841285474607e-89
HNRNPU,2.84588090371449e-93,-0.299625590555089,317,0.39,8.5851689222355e-89
SYNGR2,2.76736033145378e-90,-0.29320038950828,133,192,8.3482959118966e-86
ZCCHC7,1.77071599112403e-87,-0.309382685762676,484,0.56,5.34171893042385e-83
NCF1,6.78332565295898e-84,-0.260815837475069,413,489,2.04632584972813e-79
RCSD1,7.18504820167427e-82,-0.278125786646595,295,364,2.16751349099908e-77
APBB1IP,1.16742488449715e-80,-0.29775502143825,254,318,3.52177064906256e-76
PARP1,7.62872207925487e-79,-0.257638332726792,228,292,2.30135658964882e-74
UBE2D2,1.65595035902875e-77,-0.273477219945812,246,0.31,4.99550544808202e-73
YWHAB,8.72119315944062e-75,-0.251350259273852,324,383,2.63092234040845e-70
ALOX5,2.25666839484304e-71,-0.277682542245256,171,227,6.80769154672299e-67
IKZF1,5.01346066309093e-70,-0.293701331342191,333,389,1.51241067823464e-65
SF1,2.55811324959795e-68,-0.260834618677846,383,446,7.71706024006212e-64
BCL11A,3.44343568684878e-68,-0.295646684979832,228,285,1.03878124365167e-63
FP236383.3,6.93582069870111e-68,-0.25620307572896,678,741,2.09232903017716e-63
PLEKHA2,3.4941544483869e-65,-0.280268089578873,269,328,1.05408157244488e-60
EAF2,6.46112641630375e-65,-0.252163417178027,241,301,1.94912800600635e-60
TRAF3IP3,2.81066777668359e-64,-0.250062070159498,293,355,8.47894148192139e-60
FLI1,6.8691545497318e-62,-0.260916959543629,225,284,2.07221785301759e-57
KHDRBS2,1.20408194010961e-60,-0.363162841404846,218,273,3.63235398872865e-56
AFF3,2.43208226299974e-60,-0.268156010622084,713,768,7.33686256279132e-56
IL4R,8.40228571195872e-59,-0.294799022484647,276,0.33,2.53471753072659e-54
KIAA0040,2.53635163576566e-57,-0.250712618200283,169,0.22,7.65141197961426e-53
FCHSD2,3.09408169414713e-56,-0.272178933467514,473,532,9.33391624673364e-52
ADAM19,5.70361045672743e-56,-0.292530525987275,213,258,1.72060816648096e-51
IGHV4-34,2.07471362707119e-51,-0.398866493981611,65,101,6.25878859878565e-47
PACS1,4.1287467218196e-51,-0.265750073232185,328,385,1.24551902357132e-46
LIX1-AS1,8.54868912591218e-46,-0.314416775664865,154,198,2.57888304861393e-41
SIPA1L3,4.16950280836286e-40,-0.256078854901762,274,0.32,1.25781391219883e-35
CRIP1,5.5314384472776e-37,-0.275991285568354,294,338,1.66866903639023e-32
BACH2,2.10869312491583e-32,-0.278571302918161,599,641,6.36129454993359e-28
AC105402.3,1.64983428959213e-15,-0.362402336353656,349,365,4.97705510141259e-11
