X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CIRBP,0,-0.37668896160547,0.702,0.709,0
H3F3B,0,-0.410316919549068,0.866,0.891,0
HNRNPA1,0,-0.361462953031933,0.655,0.664,0
LAPTM5,0,-0.444145454665274,0.878,0.895,0
LYZ,0,-1.11767132012164,0.11,0.104,0
RBM3,0,-0.478076880642532,0.563,0.593,0
SNX9,0,-0.757202567645414,0.332,0.417,0
TXNIP,0,-0.456389162003089,0.838,0.841,0
UBC,0,-0.430615578171766,0.838,0.869,0
HSP90AB1,1.323707417e-315,-0.387043576809402,0.807,0.8,3.9932281660503e-311
TAGAP,8.0950229480453e-307,-0.432250538612712,0.585,0.594,2.44202557273683e-302
DUSP1,6.21240285809682e-301,-0.341216826188464,0.379,0.342,1.87409557020207e-296
RHOH,8.16052002430138e-298,-0.377536873265562,0.576,0.595,2.461784075731e-293
RPL3,4.55949941881055e-297,-0.302350043093013,0.905,0.942,1.37546418967258e-292
FTL,2.0450357201855199e-290,-0.359413779446682,0.857,0.902,6.16925925708365e-286
RPL5,2.19248504028072e-280,-0.298035324602179,0.879,0.925,6.61406962101486e-276
EZR,5.3354750488945e-279,-0.298715190203092,0.775,0.747,1.609552758e-274
EEF1A1,1.93720122460583e-273,-0.284357925706791,0.976,0.982,5.8439549342684e-269
RPS4X,3.2190477117388e-271,-0.283694957814623,0.9,0.938,9.71090123200243e-267
NFKBIA,9.97039567577245e-271,-0.379021813166291,0.292,0.308,3.00776926351027e-266
EEF2,1.68723312920294e-263,-0.375972498621371,0.878,0.882,5.08987618086651e-259
BZW1,9.95076166250691e-262,-0.416165160681893,0.324,0.351,3.00184627072846e-257
PMAIP1,1.80335566275615e-248,-0.453338336180339,0.225,0.265,5.44018302783647e-244
RPL4,6.48923526529946e-248,-0.330301170684748,0.839,0.869,1.95760760248289e-243
NFKB1,3.72700312186952e-247,-0.551217649671568,0.334,0.387,1.12432503177438e-242
ZFP36L1,5.01422988948399e-246,-0.394406830748551,0.672,0.664,1.51264273076064e-241
RPL7A,9.73456511851105e-240,-0.264033358182453,0.891,0.935,2.93662625930123e-235
EIF4A1,1.78578103516724e-239,-0.275483163637141,0.525,0.509,5.38716564878901e-235
BTF3,1.02652008302708e-238,-0.31516533209386,0.745,0.772,3.09670313446779e-234
CSDE1,8.10144918865488e-237,-0.291953869578744,0.506,0.496,2.44396417674152e-232
EMP3,1.19094922719261e-236,-0.334950135871845,0.55,0.544,3.59273653367194e-232
DAZAP2,1.46892296942147e-235,-0.288120211481738,0.603,0.59,4.43129992185374e-231
RHOG,1.03767464898614e-228,-0.362649860051504,0.271,0.289,3.13035311359648e-224
CD69,8.70358653067497e-225,-0.379228813005212,0.728,0.73,2.62561094870872e-220
S100A6,5.01010744904312e-211,-0.265071388276273,0.375,0.326,1.51139911415284e-206
FP671120.4,1.02098816441102e-208,-0.70007856215409,0.268,0.283,3.08001499557872e-204
S100A4,6.91094863782986e-208,-0.401630239815471,0.301,0.286,2.08482587557413e-203
RSL1D1,6.32226457352238e-203,-0.277270134026946,0.396,0.391,1.9072375538945e-198
NACA,4.08444751299951e-201,-0.270740398372206,0.841,0.89,1.23215528124656e-196
GAPDH,1.66473557202912e-198,-0.356219353707001,0.647,0.666,5.02200780014025e-194
RPSA,1.39707475937699e-196,-0.268273801314704,0.875,0.917,4.21455542661256e-192
EEF1D,3.5697212469796e-194,-0.296354313767036,0.821,0.855,1.07687780857633e-189
EIF1B,2.59288935167315e-193,-0.289489233160558,0.334,0.332,7.82196930719241e-189
EIF1,1.81500632476944e-192,-0.271619585298652,0.926,0.914,5.47532957993198e-188
RACK1,3.71566833622799e-191,-0.262470228494855,0.873,0.916,1.1209056669899e-186
HIF1A,1.39870873745462e-188,-0.326413105772193,0.402,0.423,4.21948464827936e-184
DDX21,8.71602237199294e-188,-0.311933802774227,0.388,0.398,2.62936246895911e-183
ARHGDIA,2.90584532803845e-187,-0.256451031830955,0.315,0.308,8.76606360109358e-183
FXYD5,1.48363463523386e-183,-0.274171594463378,0.687,0.686,4.47568060411e-179
CD83,8.9468347157917e-177,-0.287994389074753,0.686,0.696,2.69899162871288e-172
HMGB2,2.4306446109706e-173,-0.294255218428974,0.218,0.231,7.33252559791501e-169
MYC,1.55044741487852e-171,-0.322239457059239,0.211,0.217,4.67723471646404e-167
SRGN,2.25594864618782e-163,-0.360879555388246,0.164,0.176,6.8055202809547905e-159
ILF2,9.41761234562958e-152,-0.254482011676905,0.255,0.258,2.84101111630608e-147
RPS26,2.44840871695492e-149,-0.258248948593117,0.656,0.64,7.3861145764379e-145
NFKB2,1.20294187680827e-144,-0.286002864773639,0.2,0.208,3.6289147597675e-140
RGS2,2.75791468551583e-143,-0.267061987181109,0.219,0.217,8.3198012317956e-139
AP001011.1,5.59589176458268e-141,-0.257329509076228,0.238,0.236,1.68811266862166e-136
HLA-DPA1,7.76381802084386e-137,-0.25570354332659,0.871,0.891,2.34211098234797e-132
KDM6B,4.55273947026186e-134,-0.2665873224822,0.216,0.22,1.37342491599389e-129
TAGLN2,3.80256402423528e-104,-0.261052833771804,0.664,0.672,1.14711948919106e-99
BACH1,5.55374641579975e-104,-0.25897386942908,0.28,0.295,1.67539868125431e-99
SLC49A4,7.59813689015039e-88,-0.325550425868089,0.129,0.153,2.29212995565167e-83
GABPB1,1.38513266133136e-85,-0.314776469759598,0.142,0.167,4.17852969943831e-81
AC105402.3,6.34997174308091e-19,-0.360691778830501,0.347,0.349,1.91559597573522e-14
IGLV1-44,6.18265316916629e-15,-0.392064305067687,0.101,0.09,1.86512098154239e-10
