X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
BTG1,0,-0.450656485612358,0.569,0.586,0
CIRBP,0,-0.479401039597953,0.702,0.749,0
EZR,0,-0.499469973654531,0.775,0.828,0
HNRNPA1,0,-0.43658353067617,0.655,0.701,0
LAPTM5,0,-0.486123159677754,0.878,0.913,0
RBM3,0,-0.539056791167377,0.563,0.63,0
SNX9,0,-0.906383241190724,0.332,0.452,0
UBC,0,-0.466764201903278,0.838,0.876,0
RHOH,1.113367086956e-312,-0.416797158029987,0.576,0.628,3.35869449121881e-308
H3F3B,9.21419281441103e-292,-0.367255684644933,0.866,0.892,2.77964554632337e-287
IRF1,7.90313782793142e-273,-0.328813365136797,0.305,0.269,2.38413958855207e-268
EMP3,1.23603465619585e-258,-0.436754179547801,0.55,0.571,3.72874574734601e-254
EEF1A1,7.05491228640095e-232,-0.272738234647354,0.976,0.971,2.12825538943858e-227
DAZAP2,3.38894541481297e-228,-0.358541816945138,0.603,0.635,1.02234316328663e-223
NFKB1,2.92725055235332e-222,-0.544624076703405,0.334,0.403,8.83063674128426e-218
RPL7A,3.37721871643786e-219,-0.270215854000872,0.891,0.918,1.01880557018781e-214
CDC42SE2,1.37498950668599e-216,-0.257746261292296,0.506,0.484,4.14793084481963e-212
PMAIP1,7.95936874260858e-208,-0.45911753299322,0.225,0.289,2.40110276858273e-203
RPS4X,1.19326290998003e-203,-0.261533429187243,0.9,0.917,3.59971622053676e-199
PRRC2C,2.90168722683098e-197,-0.281700520212571,0.601,0.623,8.75351985718103e-193
HSP90AB1,1.38286145182406e-196,-0.320963395581637,0.807,0.821,4.17167814171764e-192
HMGB2,6.90140515224421e-191,-0.383175799572162,0.218,0.265,2.08194689227751e-186
TAGAP,1.05751024747432e-187,-0.37632872486902,0.585,0.617,3.19019116355578e-183
BZW1,3.5023327200911e-184,-0.382952630803947,0.324,0.375,1.05654871166988e-179
AP001011.1,1.87679880580675e-180,-0.380315602946784,0.238,0.279,5.66173895747721e-176
FTL,3.3311702655707e-180,-0.283871733458367,0.857,0.889,1.00491413401471e-175
CSDE1,1.68856539134055e-170,-0.268617752720497,0.506,0.518,5.09389521605704e-166
EEF2,1.26082524015838e-169,-0.312674121987134,0.878,0.903,3.80353150198578e-165
LINC01619,3.8449568630123e-168,-0.353681781334065,0.476,0.496,1.15990813686492e-163
APOO,6.944872415959e-162,-0.336573066892292,0.578,0.635,2.09505966172235e-157
RPL4,2.13349748345489e-157,-0.277221379194564,0.839,0.868,6.43612185833838e-153
RHOG,8.40596881283617e-156,-0.287986743459573,0.271,0.287,2.53582861176829e-151
PDE4B,5.91287266385441e-155,-0.272600461955418,0.47,0.49,1.78373629650496e-150
BTF3,2.64581793907695e-153,-0.280073202182093,0.745,0.777,7.98163897681344e-149
DDX21,9.26018703241314e-152,-0.30986273465819,0.388,0.417,2.79352062206807e-147
ZEB1,9.62935778657383e-152,-0.453800577951827,0.327,0.359,2.90488836347573e-147
STAT1,9.2216452919125e-151,-0.277943992732131,0.141,0.151,2.78189373521124e-146
EIF1B,2.18063828831483e-150,-0.341991777006653,0.334,0.369,6.57833152435936e-146
TXNIP,1.4615666568944e-148,-0.283255579485923,0.838,0.833,4.40910813385332e-144
COX4I1,1.57759678229554e-148,-0.28431437092399803,0.767,0.803,4.75913621315096e-144
PELI1,3.68310315249571e-146,-0.330288735548062,0.389,0.424,1.11108172801338e-141
RSL1D1,9.73905474367384e-145,-0.28563047569425,0.396,0.409,2.93798064452409e-140
SLC49A4,1.04651245038787e-139,-0.463004346933229,0.129,0.187,3.15701410908508e-135
CCR7,5.97668756268918e-139,-0.269454624442664,0.324,0.318,1.80298733703644e-134
TAGLN2,5.78081262742789e-138,-0.35690152075065,0.664,0.7,1.74389774531617e-133
GABPB1,9.96729686641641e-138,-0.430320510253936,0.142,0.2,3.00683444569184e-133
MRPL54,1.74078214622323e-137,-0.272742520737314,0.289,0.306,5.25141750051163e-133
NOP58,8.2294822259752e-136,-0.29845771669541,0.374,0.398,2.48258790310994e-131
CD83,2.76222380642235e-135,-0.279031612942737,0.686,0.728,8.33280055683429e-131
RSRC2,7.53682300889334e-133,-0.308093056908,0.358,0.391,2.27363339709285e-128
ZC3H15,6.31507465915975e-132,-0.27960391990134,0.344,0.367,1.90506857242872e-127
CBLB,1.30088197947898e-131,-0.350385363111244,0.333,0.358,3.92437066749425e-127
MATR3.1,1.93177477212581e-131,-0.27979410245301,0.317,0.34,5.82758495507192e-127
CYTIP,4.82448574445524e-131,-0.256115960095598,0.47,0.481,1.45540261452981e-126
ARHGAP25,1.82617619421138e-121,-0.261499307981818,0.384,0.39,5.50902572507747e-117
BACH1,7.37079425308011e-120,-0.348416658155014,0.28,0.338,2.22354750232668e-115
ILF2,2.31098729922125e-119,-0.258116221069572,0.255,0.272,6.97155538556074e-115
FP671120.4,2.99624152200889e-119,-0.444910531994429,0.268,0.289,9.03876179944421e-115
GADD45B,8.05020422719577e-116,-0.32453541816044,0.396,0.421,2.42850510921815e-111
