X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CD69,7.81513023553419e-288,-0.560457763889599,0.673,0.799,2.3575903381536e-283
STAT1,4.62831714954997e-205,-0.622392661335505,0.319,0.39,1.39622443450474e-200
H3F3B,2.16400244893204e-179,-0.379950133179979,0.927,0.949,6.52814618769329e-175
CXCR4,1.41133198672634e-162,-0.468513730133436,0.677,0.762,4.25756520435736e-158
RPL15,4.04756428535933e-161,-0.265684012975189,0.912,0.933,1.22102871796435e-156
RAB11A,1.04737555948261e-150,-0.435345248030852,0.47,0.561,3.1596178502912e-146
RPL3,6.46173395625802e-130,-0.250948389184466,0.947,0.957,1.94931128258436e-125
PARP9,3.50529786506141e-129,-0.278372478309328,0.121,0.227,1.05744320695308e-124
RPS4X,4.06708802198551e-128,-0.272254175429464,0.932,0.944,1.22691844359237e-123
RPL7A,1.66872567751573e-124,-0.26780479311914,0.925,0.946,5.03404475136171e-120
RPS9,1.54698132823497e-121,-0.279810756162436,0.913,0.932,4.66677857288644e-117
EPSTI1,7.88546288243174e-119,-0.433449594285025,0.197,0.287,2.37880758774318e-114
RPSA,2.89936235452119e-117,-0.270835888240293,0.912,0.934,8.74650641488406e-113
RPL10,2.30070044282083e-116,-0.262438011973101,0.97,0.977,6.94052302585761e-112
IFI44L,1.0537297334167e-109,-0.266929447945779,0.057,0.132,3.17878648679816e-105
SLC2A3,4.3401222151539e-104,-0.397395134295214,0.549,0.646,1.30928466864548e-99
GBP2,1.90657757820205e-98,-0.380386265063108,0.333,0.424,5.75157258016213e-94
GBP1,3.83995724134095e-98,-0.264024134364026,0.117,0.206,1.15839990099533e-93
CIRBP,1.30624350435199e-96,-0.357465885930235,0.76,0.823,3.94054477957864e-92
RACK1,9.85503364955243e-96,-0.263270491602759,0.9,0.93,2.97296800106048e-91
YPEL5,8.16841850945577e-89,-0.337135324778889,0.474,0.574,2.46416681174752e-84
DUSP1,3.02624638338491e-88,-0.412962509594569,0.388,0.455,9.12927746475726e-84
BTF3,1.89102142788257e-87,-0.282864436767946,0.81,0.858,5.70464434149335e-83
RPS5,3.10391960718225e-87,-0.26428610236483,0.89,0.925,9.36359427898669e-83
RBM3,1.89138137233285e-85,-0.36574177706223,0.586,0.674,5.70573018591651e-81
HSP90AB1,1.68984453046342e-83,-0.325478979236069,0.767,0.829,5.097753995049e-79
RPLP0,2.54775073138471e-79,-0.293706381789592,0.889,0.924,7.68579963136825e-75
HLA-DRA,2.48734799952174e-77,-0.36265228978141,0.238,0.187,7.50358271015723e-73
IFITM1,1.31126184324776e-75,-0.35277181908461003,0.497,0.605,3.95568360252552e-71
UBC,1.26443368235868e-73,-0.303778278511538,0.871,0.9,3.81441708957144e-69
RHOH,5.2536650760414e-73,-0.323347403133731,0.599,0.66,1.58487314348941e-68
ZNF331,1.42390298488845e-69,-0.358910321058284,0.542,0.599,4.295488134513e-65
HNRNPA1,1.63310062228708e-68,-0.257598416515171,0.782,0.82,4.92657464725343e-64
TRIM22,4.09755556918885e-67,-0.310157843616073,0.341,0.41,1.2361095885572e-62
PSME1,5.53856161887492e-66,-0.276381120944557,0.643,0.704,1.670817883566e-61
IRF1,1.24036187105984e-63,-0.345680394270483,0.44,0.496,3.74179965642621e-59
PDE4B,1.69697012713129e-63,-0.318804132182521,0.242,0.326,5.11924978251698e-59
GNLY,1.06659630378465e-62,-0.294276106750715,0.255,0.212,3.21760106962715e-58
RAPGEF6,1.83830156905185e-62,-0.300054994943517,0.569,0.586,5.54560434335872e-58
COX4I1,1.66898532272259e-61,-0.263993790945977,0.811,0.857,5.03482802305723e-57
GADD45B,1.12042778843218e-60,-0.282272973830736,0.388,0.484,3.37999450936335e-56
RPL4,1.16339089771806e-60,-0.260224207086099,0.874,0.905,3.50960132114607e-56
MAPRE2,1.24499548420134e-60,-0.344460604817749,0.461,0.53,3.75577787719018e-56
PSME2,2.07314749494284e-60,-0.27489763538545,0.443,0.522,6.25406404799405e-56
NFKBIZ,5.0548278254808e-60,-0.254440888176277,0.313,0.399,1.52488991011279e-55
CYTIP,2.95182715590197e-59,-0.252950253051219,0.616,0.672,8.90477698120947e-55
SNX9,4.75886468181699e-59,-0.314403068887589,0.376,0.437,1.43560670856373e-54
DENND4A,1.0344101249539e-56,-0.258600158320634,0.573,0.608,3.12050502394844e-52
LDHA,1.69295167704103e-56,-0.261496371232869,0.44,0.53,5.10712732412966e-52
EEF2,2.50499224185752e-52,-0.359363446634501,0.838,0.877,7.55681009601159e-48
LAPTM5,7.60810049777514e-44,-0.360386814501678,0.716,0.764,2.29513567716383e-39
NFKB1,1.57731479918174e-42,-0.307813126677733,0.478,0.525,4.75828555469156e-38
GAPDH,1.84329499340463e-42,-0.304316729234361,0.726,0.778,5.56066800660375e-38
PER1,1.35495291106486e-41,-0.256023811143524,0.311,0.384,4.08748644680937e-37
EZR,1.01058908487333e-39,-0.30606677165753,0.494,0.554,3.04864409233738e-35
MT-ATP8,3.30499904462894e-39,-0.378888264380461,0.751,0.781,9.97019061793213e-35
NFKBIA,1.89860512935021e-35,-0.270669802617934,0.405,0.46,5.72752209371077e-31
SRGN,2.64894813298083e-35,-0.250753741936804,0.672,0.686,7.99108183276328e-31
HLA-DRB1,3.99923741023606e-35,-0.262726926676611,0.197,0.175,1.20644994954591e-30
CD37,1.36529335869101e-32,-0.291521783787067,0.709,0.762,4.11868047516317e-28
MT-ND4L,3.7479948243721e-32,-0.306952112940303,0.8,0.839,1.13065759866833e-27
CCR7,9.35515456156321e-32,-0.259542957370187,0.383,0.441,2.82216947658677e-27
APOO,1.08331119867756e-31,-0.423068783152162,0.26,0.313,3.2680248930506e-27
