X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-C,6.28763328261352e-93,-0.258958562279862,0.91,0.94,1.89679033236602e-88
CYBA,1.60710579965421e-76,-0.309107630586738,0.631,0.682,4.84815606581686e-72
HIST1H1E,5.95796083137244e-68,-0.339395320444979,0.436,0.4,1.79733804400012e-63
EFHD2,1.70456480688729e-63,-0.35697436697579,0.213,0.268,5.14216065293689e-59
ITGB2,4.53413419226116e-58,-0.266579588734629,0.598,0.638,1.36781226177942e-53
HCST,1.26912312335862e-53,-0.263068695519729,0.651,0.664,3.82856372623595e-49
KLRF1,4.86409538834685e-53,-0.356685798548072,0.102,0.166,1.46735165580259e-48
S100A6,5.21466470788991e-52,-0.250610179180357,0.669,0.703,1.57310790242915e-47
SAMD3,3.38156504738389e-50,-0.308375971190706,0.288,0.363,1.0201167278443e-45
S100A4,3.26958303133643e-48,-0.263305455607727,0.627,0.689,9.86335113063261e-44
GZMA,9.90274351544183e-47,-0.344691300671619,0.239,0.314,2.98736063630334e-42
CST7,3.16893658317481e-45,-0.309218483677956,0.238,0.317,9.55973099046345e-41
KLRD1,5.93850515509674e-45,-0.266461123448796,0.154,0.224,1.79146885013803e-40
TRDC,9.87082811363922e-45,-0.358354960929042,0.107,0.165,2.97773271704154e-40
DUSP2,9.9379702906736e-45,-0.332225178140088,0.222,0.255,2.99798749758751e-40
MYBL1,4.11112504195236e-42,-0.263970914728099,0.192,0.261,1.24020309140577e-37
TYROBP,5.61949796721199e-42,-0.367088991500766,0.157,0.222,1.69523395176884e-37
MYO1F,1.77322322718812e-41,-0.272392235267951,0.292,0.368,5.34928250945841e-37
CD63,2.36854507118557e-41,-0.27892458378022,0.284,0.343,7.1451899162455e-37
NKG7,5.10581248880854e-40,-0.29839727689661,0.29,0.367,1.54027045349887e-35
GNLY,6.33345612242466e-37,-0.307445632665337,0.212,0.282,1.91061370845185e-32
HOPX,2.14399579708279e-35,-0.287931934924524,0.174,0.232,6.46779212105966e-31
FP236383.3,1.93198332999204e-34,-0.651698403991045,0.295,0.305,5.82821411158698e-30
PRF1,3.39464634690175e-34,-0.279797699590156,0.212,0.277,1.02406296346985e-29
KLRB1,5.81396516608916e-31,-0.254084143048869,0.277,0.343,1.75389887165412e-26
FGFBP2,1.56982039160056e-29,-0.264684044737262,0.13,0.182,4.73567717534141e-25
S100A9,1.30206040739716e-24,-0.271867638794785,0.076,0.1,3.92792563099502e-20
LYZ,6.47675625161558e-19,-0.308062716764763,0.1,0.126,1.95384305842487e-14
FP671120.4,1.40768900092157e-14,-0.387228641630461,0.103,0.128,4.2465754090801e-10
