X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC004448.2,0,1.81024862417386,0.185,0.018,0
ACTB,0,0.547627861822276,0.829,0.679,0
APBB1IP,0,0.447805584631377,0.421,0.254,0
ARHGAP17,0,0.446237668152994,0.295,0.154,0
DDX17,0,0.472928393596021,0.473,0.301,0
EIF3F,0,0.631704973920891,0.439,0.247,0
FCMR,0,0.551357346380494,0.637,0.432,0
FTH1,0,0.433331022355733,0.599,0.372,0
GNG7,0,0.494361614786031,0.539,0.356,0
IDS,0,0.595157967243023,0.307,0.157,0
ITGA4,0,0.44740038794894,0.466,0.303,0
JUNB,0,1.11216125996745,0.644,0.38,0
KLF2,0,0.352989755207597,0.368,0.209,0
LBH,0,0.524148259628434,0.358,0.181,0
MARCH1,0,0.468908937080212,0.577,0.407,0
PFN1,0,0.54964876511526,0.434,0.235,0
PPDPF,0,0.452564840671164,0.478,0.287,0
PTPRCAP,0,0.709569572200542,0.471,0.285,0
RALGPS2,0,0.664745660521567,0.733,0.543,0
RCSD1,0,0.346775540246006,0.456,0.295,0
RIPOR2,0,0.506764902603842,0.778,0.596,0
RNASET2,0,0.606174572238799,0.367,0.181,0
RPL13,0,0.710688612489403,0.866,0.794,0
SARAF,0,0.454519019343036,0.632,0.445,0
SYNGR2,0,0.565294687817389,0.288,0.133,0
TPD52,0,0.523310526656027,0.422,0.251,0
TRIR,0,0.575611305246339,0.321,0.148,0
UBE2D2,0,0.496172149587171,0.432,0.246,0
VIM,0,0.52540256194677,0.484,0.292,0
ALOX5,2.47e-322,0.427032562316134,0.312,0.171,7.45224e-318
LTB,1.17e-321,0.35188518494522,0.847,0.737,3.5323614e-317
YWHAB,3.18e-321,0.371473801990631,0.487,0.324,9.598484e-317
CALM1,3.03025e-319,0.355583415050921,0.531,0.367,9.1413637e-315
HNRNPU,4.30954e-319,0.385742459664961,0.479,0.317,1.3000580275e-314
ARPC2,6.7048e-319,0.287851860951629,0.554,0.393,2.022642042e-314
SF1,1.4318469e-316,0.373467247763953,0.546,0.383,4.319452558863e-312
NCF1,9.923179126e-315,0.366961137576852,0.577,0.413,2.99352544682943e-310
PARP1,4.162706444538e-311,0.376378809632164,0.377,0.228,1.25576365312385e-306
SMDT1,3.88749214257207e-306,0.394981222731019,0.378,0.229,1.17273975464972e-301
TNFAIP8,3.3020729559366e-293,0.361975789851879,0.507,0.351,9.96136348617394e-289
TSC22D3,2.20470873256833e-292,0.459563596500169,0.731,0.589,6.65094483353888e-288
BANK1,4.87979325864892e-290,0.47572442879389,0.835,0.721,1.47208723233662e-285
CALR,1.33674732297566e-287,0.359373956061297,0.402,0.256,4.03256564922067e-283
KLF6,1.95738288251444e-287,0.446894995639599,0.59,0.435,5.90483694168131e-283
UVRAG,3.54575645919715e-285,0.450586453653335,0.486,0.332,1.06964835104601e-280
SIPA1L3,5.39577834211894e-285,0.488399533241561,0.423,0.274,1.62774445246702e-280
ST6GAL1,2.82801456664767e-283,0.407687066594224,0.512,0.358,8.53127154320603e-279
PPP1CC,3.89761751429994e-283,0.382634170334986,0.234,0.116,1.17579427553886e-278
STK17B,1.53310312099905e-281,0.306945789626909,0.604,0.451,4.62491218511784e-277
