X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MTRNR2L8,5.07535789201467e-180,0.85998157060089,0.332,0.209,1.53108321528407e-175
JUN,1.54757767109318e-175,0.581283913641029,0.654,0.495,4.6685775603868e-171
STAT1,5.17624383873642e-141,0.58619520959363,0.39,0.32,1.56151747883162e-136
GADD45B,8.8969017079496e-118,0.402220848601729,0.484,0.342,2.68392833823716e-113
SLC2A3,4.21918944674899e-112,0.424891022424749,0.646,0.527,1.27280288040077e-107
CD69,1.24551422834872e-98,0.284045143294779,0.799,0.705,3.75734277265957e-94
IFI44L,7.4423479337495e-97,0.276357596953316,0.132,0.056,2.24513310117421e-92
NFKBIZ,2.50331327519891e-95,0.317094489018069,0.399,0.279,7.55174515729254e-91
EPSTI1,5.53999315509952e-93,0.412062041672754,0.287,0.211,1.67124973509887e-88
STK17B,1.45917847030361e-87,0.268384410588783,0.733,0.701,4.4019036913649e-83
RAB11A,2.27718333586468e-86,0.355092986617519,0.561,0.477,6.86957896930298e-82
GBP1,3.10516117361643e-82,0.278366615158516,0.206,0.121,9.36733971244868e-78
YPEL5,5.59396863486577e-72,0.2986277576035,0.574,0.472,1.68753251807996e-67
GBP2,7.74651509065072e-72,0.347235421525025,0.424,0.344,2.3368912073966e-67
DUSP1,1.79559942122946e-68,0.309104097896929,0.455,0.355,5.4167847740229e-64
KLF6,9.24712413332569e-65,0.302906244642304,0.522,0.43,2.78957993730036e-60
IL6ST,3.828253846786e-62,0.285873085223072,0.465,0.369,1.15486933795993e-57
RAPGEF6,3.79372206384029e-60,0.33999200234388,0.586,0.528,1.1444521349987e-55
NDFIP1,9.07244114105578e-59,0.292939140110766,0.592,0.54,2.7368833190223e-54
SNX9,4.0719631980876e-53,0.262734040595615,0.437,0.346,1.22838913796709e-48
ARIH1,2.25635290950463e-52,0.263229595869352,0.617,0.56,6.80673982210263e-48
DENND4A,1.22518343610249e-49,0.274368460552324,0.608,0.556,3.69601087169037e-45
TRIM22,6.49472008895786e-49,0.27373548878279,0.41,0.335,1.95926220923592e-44
MAPRE2,1.99246682650635e-47,0.310335063282241,0.53,0.459,6.0106746755217e-43
LEF1,1.79021950443078e-46,0.308445586973496,0.517,0.439,5.40055517901633e-42
RGCC,3.38311195078805e-45,0.257066940923827,0.257,0.188,1.02058338219423e-40
FHIT,9.21338641242189e-45,0.30073981727849,0.412,0.329,2.77940227903531e-40
PELI1,6.27811579129622e-41,0.265864991184908,0.367,0.292,1.89391919076033e-36
SIK3,1.92472967711454e-39,0.286460881572894,0.64,0.607,5.80633201695143e-35
NFKB1,3.03103240167724e-34,0.264617409782835,0.525,0.469,9.14371544613973e-30
ANK3,1.72852499185043e-25,0.261475706337646,0.453,0.402,5.2144413429152e-21
HLA-DRA,1.44307605029193e-9,0.319802931754344,0.187,0.169,4.35332752091566e-5
